starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 17 16:19:38 2022	1668701978	0	96	96	96
Thu Nov 17 16:19:38 2022	1668701978	3	94	96	93
Thu Nov 17 16:19:38 2022	1668701978	0	96	96	96
Thu Nov 17 16:19:38 2022	1668701978	0	96	97	96
Thu Nov 17 16:19:38 2022	1668701978	0	96	97	96
Thu Nov 17 16:19:38 2022	1668701978	0	97	97	96
Thu Nov 17 16:19:38 2022	1668701978	2	95	97	95
Thu Nov 17 16:19:37 2022	1668701977	0	97	97	97
Thu Nov 17 16:19:38 2022	1668701978	0	97	97	97
Thu Nov 17 16:19:38 2022	1668701978	0	97	97	96
Thu Nov 17 16:19:37 2022	1668701977	0	97	97	96
Thu Nov 17 16:19:38 2022	1668701978	0	97	97	97
Thu Nov 17 16:19:37 2022	1668701977	0	97	97	97
Thu Nov 17 16:19:38 2022	1668701978	0	97	97	97
Thu Nov 17 16:19:37 2022	1668701977	0	97	97	97
Thu Nov 17 16:19:38 2022	1668701978	0	97	97	97
Thu Nov 17 16:19:38 2022	1668701978	0	97	97	97
Thu Nov 17 16:19:38 2022	1668701978	0	97	97	97
Thu Nov 17 16:19:38 2022	1668701978	0	97	97	97
Thu Nov 17 16:19:38 2022	1668701978	0	97	98	97
Thu Nov 17 16:19:38 2022	1668701978	0	97	98	97
Thu Nov 17 16:19:38 2022	1668701978	0	98	98	97
Thu Nov 17 16:19:38 2022	1668701978	0	97	98	97
Thu Nov 17 16:19:37 2022	1668701977	0	98	98	98
Thu Nov 17 16:19:37 2022	1668701977	0	98	98	98
Thu Nov 17 16:19:38 2022	1668701978	0	98	98	98
Thu Nov 17 16:19:38 2022	1668701978	0	98	98	98
Thu Nov 17 16:19:38 2022	1668701978	0	98	98	98
Thu Nov 17 16:19:38 2022	1668701978	0	98	98	98
Thu Nov 17 16:19:37 2022	1668701977	0	98	98	98
Thu Nov 17 16:19:38 2022	1668701978	0	98	98	98
Thu Nov 17 16:19:36 2022	1668701976	1	98	98	98
Thu Nov 17 16:19:37 2022	1668701977	0	98	98	98
Thu Nov 17 16:19:38 2022	1668701978	3	96	98	95
Thu Nov 17 16:19:37 2022	1668701977	0	98	98	98
Thu Nov 17 16:19:37 2022	1668701977	0	99	99	99
Thu Nov 17 16:19:38 2022	1668701978	0	98	99	98
Thu Nov 17 16:19:38 2022	1668701978	0	99	99	99
Thu Nov 17 16:19:37 2022	1668701977	0	99	99	99
Thu Nov 17 16:19:37 2022	1668701977	0	99	99	99
Thu Nov 17 16:19:38 2022	1668701978	0	99	99	99
Thu Nov 17 16:19:38 2022	1668701978	0	99	99	98
Thu Nov 17 16:19:37 2022	1668701977	0	99	99	99
Thu Nov 17 16:19:37 2022	1668701977	0	99	99	99
Thu Nov 17 16:19:38 2022	1668701978	0	100	100	99
Thu Nov 17 16:19:38 2022	1668701978	0	99	100	99
Thu Nov 17 16:19:38 2022	1668701978	0	99	100	99
Thu Nov 17 16:19:38 2022	1668701978	0	100	100	100
Thu Nov 17 16:19:38 2022	1668701978	0	100	100	100
Thu Nov 17 16:19:38 2022	1668701978	0	100	100	99
Thu Nov 17 16:19:38 2022	1668701978	0	100	100	100
Thu Nov 17 16:19:38 2022	1668701978	0	100	100	100
Thu Nov 17 16:19:38 2022	1668701978	0	100	100	100
Thu Nov 17 16:19:38 2022	1668701978	0	100	100	100
Thu Nov 17 16:19:38 2022	1668701978	0	100	100	100
Thu Nov 17 16:19:38 2022	1668701978	0	100	100	100
Thu Nov 17 16:19:38 2022	1668701978	0	100	101	100
